Ethnicity,Standardised ethnicity,5-category ethnicity,17-category ethnicity,Notes
Asian (Bangladesh),Bangladeshi,Asian,Asian: Bangladeshi,
Asian (Bangladeshi),Bangladeshi,Asian,Asian: Bangladeshi,
Asian Bangladeshi,Bangladeshi,Asian,Asian: Bangladeshi,
Bangaldesh,Bangladeshi,Asian,Asian: Bangladeshi,
Bangladesh,Bangladeshi,Asian,Asian: Bangladeshi,
Bangladeshi,Bangladeshi,Asian,Asian: Bangladeshi,
British Bangladeshi,Bangladeshi,Asian,Asian: Bangladeshi,
British-bangladeshi,Bangladeshi,Asian,Asian: Bangladeshi,
Not Stated (British Bangladeshi),Bangladeshi,Asian,Asian: Bangladeshi,
Asian (Chinese),Chinese,Asian,Asian: Chinese,
Chinese,Chinese,Asian,Asian: Chinese,
Chinese/British,Chinese,Asian,Asian: Chinese,
Hakka Chinese,Chinese/Hakka,Asian,Asian: Chinese,
Chinese (Hong Kong),Chinese/Hong Kong,Asian,Asian: Chinese,
Hong Kong Cantonese,Chinese/Hong Kong,Asian,Asian: Chinese,
Asian  (Indian),Indian,Asian,Asian: Indian,
Asian (Indian),Indian,Asian,Asian: Indian,
Asian (Maharashtra Indian),Indian,Asian,Asian: Indian,
Asian - Indian,Indian,Asian,Asian: Indian,
Asian India,Indian,Asian,Asian: Indian,
Asian Indian,Indian,Asian,Asian: Indian,
Asian-Indian,Indian,Asian,Asian: Indian,
Asian/Indian,Indian,Asian,Asian: Indian,
British Indian,Indian,Asian,Asian: Indian,
East Indian,Indian,Asian,Asian: Indian,
INDIAN,Indian,Asian,Asian: Indian,
Indian,Indian,Asian,Asian: Indian,
Indian Asian,Indian,Asian,Asian: Indian,
Indian British,Indian,Asian,Asian: Indian,
Indian mixed Asian,Indian,Asian,Asian: Indian,
Indian south chennai,Indian,Asian,Asian: Indian,
Not Stated (British Indian),Indian,Asian,Asian: Indian,
South Indian,Indian,Asian,Asian: Indian,
indian,Indian,Asian,Asian: Indian,
Asian (Afghan),Afghan,Asian,Asian: Other,
Asian (Armenian),Armenian,Asian,Asian: Other,
Asian (Azerbaijanian),Azerbaijanian,Asian,Asian: Other,
Asian (Bengali),Bengali,Asian,Asian: Other,
Bengali,Bengali,Asian,Asian: Other,
Bengali UK,Bengali,Asian,Asian: Other,
British Bengali,Bengali,Asian,Asian: Other,
Asian (Cambodian),Cambodian,Asian,Asian: Other,
Cambodian,Cambodian,Asian,Asian: Other,
Chinese/Filipino,Chinese/Filipino,Asian,Asian: Other,
Chinese/Vietnamese,Chinese/Vietnamese,Asian,Asian: Other,
Vietnamese/Chinese,Chinese/Vietnamese,Asian,Asian: Other,
chinese/vietnamese,Chinese/Vietnamese,Asian,Asian: Other,
East Asian,East Asian,Asian,Asian: Other,
Asian (Fijian),Fijian,Asian,Asian: Other,
Fiji Indian,Fijian/Indian,Asian,Asian: Other,
Fijian Indian,Fijian/Indian,Asian,Asian: Other,
Asian (Fllipino),Filipino,Asian,Asian: Other,
Asian (Philipines),Filipino,Asian,Asian: Other,
Asian (Phillipine),Filipino,Asian,Asian: Other,
Asian Filipino,Filipino,Asian,Asian: Other,
Asian/Philipino,Filipino,Asian,Asian: Other,
Filipino,Filipino,Asian,Asian: Other,
Filipinos,Filipino,Asian,Asian: Other,
Filippino,Filipino,Asian,Asian: Other,
Philipines,Filipino,Asian,Asian: Other,
Philipinnes,Filipino,Asian,Asian: Other,
Philipino,Filipino,Asian,Asian: Other,
Philipino British,Filipino,Asian,Asian: Other,
Phillipines,Filipino,Asian,Asian: Other,
Phillipino,Filipino,Asian,Asian: Other,
Gujrati,Gujarati,Asian,Asian: Other,
Asian (Iban),Iban,Asian,Asian: Other,
Iban,Iban,Asian,Asian: Other,
Myanmar Indian,Indian/Myanmarese,Asian,Asian: Other,
Indian/Sri Lankan,Indian/Sri Lankan,Asian,Asian: Other,
Asian (Indonesia),Indonesian,Asian,Asian: Other,
Asian (Indonesian),Indonesian,Asian,Asian: Other,
Indonesian,Indonesian,Asian,Asian: Other,
Indonesian Asian,Indonesian,Asian,Asian: Other,
Indonesian Javenese,Indonesian/Javanese,Asian,Asian: Other,
Java,Indonesian/Javanese,Asian,Asian: Other,
Asian (Minang West Sumatra),Indonesian/Minang,Asian,Asian: Other,
Sunda,Indonesian/Sundanese,Asian,Asian: Other,
Asian (Iranian),Iranian,Asian,Asian: Other,
Asian (Iraqi),Iraqi,Asian,Asian: Other,
Asian (Israeli),Israeli,Asian,Asian: Other,
Asian (Japanese),Japanese,Asian,Asian: Other,
Japanese,Japanese,Asian,Asian: Other,
Kashmiri,Kashmiri,Asian,Asian: Other,
Asian (Vietnamese Kinh),Kinh,Asian,Asian: Other,
Asian (Korean),Korean,Asian,Asian: Other,
Korean,Korean,Asian,Asian: Other,
Asain (Kurdistan),Kurdistani,Asian,Asian: Other,
Asian (Kurdistan),Kurdistani,Asian,Asian: Other,
Kurdistan,Kurdistani,Asian,Asian: Other,
Asian (Malay),Malay,Asian,Asian: Other,
Asian (Malays),Malay,Asian,Asian: Other,
Asian Malay,Malay,Asian,Asian: Other,
Malay,Malay,Asian,Asian: Other,
Malayan,Malay,Asian,Asian: Other,
Malays Asian,Malay,Asian,Asian: Other,
Malaysian,Malay,Asian,Asian: Other,
Melanau,Malay/Melanau,Asian,Asian: Other,
Asian (mauritian),Mauritian,Asian,Asian: Other,
Asian (Middle Eastern),Middle Eastern,Asian,Asian: Other,
Asian (middle east),Middle Eastern,Asian,Asian: Other,
Asian *Myanamese Rakhine),Myanamese/Rakhine,Asian,Asian: Other,
Asian (Myanmar),Myanmarese,Asian,Asian: Other,
Asian (Myanmarese),Myanmarese,Asian,Asian: Other,
Asian (Nepalese),Nepalese,Asian,Asian: Other,
Nepal,Nepalese,Asian,Asian: Other,
Nepalese,Nepalese,Asian,Asian: Other,
Nepali,Nepalese,Asian,Asian: Other,
New Zealand Indian,New Zealander,Asian,Asian: Other,
Asian (Omani),Omani,Asian,Asian: Other,
Asain-British,Other,Asian,Asian: Other,
Asian,Other,Asian,Asian: Other,
Asian (Hill Tribe),Other,Asian,Asian: Other,
Asian (Hindu),Other,Asian,Asian: Other,
Asian (Sikh),Other,Asian,Asian: Other,
Asian - other,Other,Asian,Asian: Other,
Asian British,Other,Asian,Asian: Other,
Asian/British,Other,Asian,Asian: Other,
Asian/Italian,Other,Asian,Asian: Other,
British Asian,Other,Asian,Asian: Other,
Hindu,Other,Asian,Asian: Other,
"Muslim, Asian",Other,Asian,Asian: Other,
Other Asian,Other,Asian,Asian: Other,
Asian (Palestinian),Palestinian,Asian,Asian: Other,
Punjabi,Punjabi,Asian,Asian: Other,
Asian (Punjabi Bhatti),Punjabi/Bhatti,Asian,Asian: Other,
Asian Sindhi,Sindhi,Asian,Asian: Other,
Sindhi,Sindhi,Asian,Asian: Other,
Singapore,Singaporean,Asian,Asian: Other,
Singaporean,Singaporean,Asian,Asian: Other,
Asian (South Asian),South Asian,Asian,Asian: Other,
Asian (south),South Asian,Asian,Asian: Other,
South Asian,South Asian,Asian,Asian: Other,
South asian,South Asian,Asian,Asian: Other,
Asian (South East),South East Asian,Asian,Asian: Other,
Asian (south east),South East Asian,Asian,Asian: Other,
SE Asian,South East Asian,Asian,Asian: Other,
South East Asian,South East Asian,Asian,Asian: Other,
Southeast Asian,South East Asian,Asian,Asian: Other,
Urdu,South East Asian,Asian,Asian: Other,
urdu speaking,South East Asian,Asian,Asian: Other,
South Korean,South Korean,Asian,Asian: Other,
Asian (Sri Landan),Sri Lankan,Asian,Asian: Other,Assume misspelled Sri Lankan
Asian (Sri Lanka),Sri Lankan,Asian,Asian: Other,
Asian (Sri Lankan),Sri Lankan,Asian,Asian: Other,
Asian Sri Lankan,Sri Lankan,Asian,Asian: Other,
Not Stated (Sri Lankan),Sri Lankan,Asian,Asian: Other,
Shiri Lanka,Sri Lankan,Asian,Asian: Other,Assume misspelled Sri Lanka
Sri Lanka,Sri Lankan,Asian,Asian: Other,
Sri Lankan,Sri Lankan,Asian,Asian: Other,
Sri Lankan Asian,Sri Lankan,Asian,Asian: Other,
Sri Lanken,Sri Lankan,Asian,Asian: Other,
Sri lanka,Sri Lankan,Asian,Asian: Other,
Srilankan,Sri Lankan,Asian,Asian: Other,
Asian (Sinhalese),Sri Lankan/Sinhalese,Asian,Asian: Other,
Not Stated (Sinhala),Sri Lankan/Sinhalese,Asian,Asian: Other,
Sinhala,Sri Lankan/Sinhalese,Asian,Asian: Other,
Sinhalese,Sri Lankan/Sinhalese,Asian,Asian: Other,
Asian (Tamil),Sri Lankan/Tamil,Asian,Asian: Other,
Tamil,Sri Lankan/Tamil,Asian,Asian: Other,
Taiwan,Taiwanese,Asian,Asian: Other,
Asian (Thai),Thai,Asian,Asian: Other,
Asian (Thailand),Thai,Asian,Asian: Other,
Asian Thai,Thai,Asian,Asian: Other,
Thai,Thai,Asian,Asian: Other,
Tibetan,Tibetan,Asian,Asian: Other,
East Asian (East Timor),Timorese,Asian,Asian: Other,
Asian (Turkish),Turkish,Asian,Asian: Other,
Uzbekistan,Ukbekistani,Asian,Asian: Other,
Asian (Vietnamese),Vietnamese,Asian,Asian: Other,
Not Stated (Vietnamese),Vietnamese,Asian,Asian: Other,
Vietnamese,Vietnamese,Asian,Asian: Other,
Vietnamese Asian,Vietnamese,Asian,Asian: Other,
Asian (Kinh Ethnic),Vietnamese/Kinh,Asian,Asian: Other,
Asian (Kinh Vietnamese),Vietnamese/Kinh,Asian,Asian: Other,
Asian (Kinh),Vietnamese/Kinh,Asian,Asian: Other,
Asian Kinh Ethnic,Vietnamese/Kinh,Asian,Asian: Other,
Asian Kinh Vietnamese,Vietnamese/Kinh,Asian,Asian: Other,
Kinh,Vietnamese/Kinh,Asian,Asian: Other,
Kinh Ethnic,Vietnamese/Kinh,Asian,Asian: Other,
Kinh Vietnamese,Vietnamese/Kinh,Asian,Asian: Other,
Asian (Muong),Vietnamese/Muong,Asian,Asian: Other,
Nung,Vietnamese/Nung,Asian,Asian: Other,
Asian (British Pakistani),Pakistani,Asian,Asian: Pakistani,
Asian (Pakistan),Pakistani,Asian,Asian: Pakistani,
Asian (Pakistani),Pakistani,Asian,Asian: Pakistani,
Asian - Pakistani,Pakistani,Asian,Asian: Pakistani,
Asian Pakistani,Pakistani,Asian,Asian: Pakistani,
Asian/Pakistani,Pakistani,Asian,Asian: Pakistani,
British Asian/Pakistani,Pakistani,Asian,Asian: Pakistani,
British Pakistani,Pakistani,Asian,Asian: Pakistani,
British/Pakistani,Pakistani,Asian,Asian: Pakistani,
Pakistan,Pakistani,Asian,Asian: Pakistani,
Pakistani,Pakistani,Asian,Asian: Pakistani,
Pakistani/Urdu,Pakistani,Asian,Asian: Pakistani,
South Asian - Pakistani,Pakistani,Asian,Asian: Pakistani,
pakistani,Pakistani,Asian,Asian: Pakistani,
pakistani/spanish,Pakistani,Asian,Asian: Pakistani,
Baloch,Pakistani/Baloch,Asian,Asian: Pakistani,
Balochi,Pakistani/Baloch,Asian,Asian: Pakistani,
Balochi/Pakistan,Pakistani/Baloch,Asian,Asian: Pakistani,
Balushi,Pakistani/Baloch,Asian,Asian: Pakistani,
Mirpuri/Pakistani,Pakistani/Mirpuri,Asian,Asian: Pakistani,
Muhajir,Pakistani/Muhajir,Asian,Asian: Pakistani,
Not Stated (Mahajir),Pakistani/Muhajir,Asian,Asian: Pakistani,
Pashto,Pakistani/Pashtun,Asian,Asian: Pakistani,
Pathan,Pakistani/Pashtun,Asian,Asian: Pakistani,
Pushto,Pakistani/Pashtun,Asian,Asian: Pakistani,Assume misspelled Pashto
Pushtuns,Pakistani/Pashtun,Asian,Asian: Pakistani,Assume misspelled Pashtuns
Not Stated (Saraiki),Pakistani/Saraiki,Asian,Asian: Pakistani,
Saraiki,Pakistani/Saraiki,Asian,Asian: Pakistani,
Sariaki,Pakistani/Saraiki,Asian,Asian: Pakistani,
Africa,African,Black,Black: African,
African,African,Black,Black: African,
Black (African),African,Black,Black: African,
Black African,African,Black,Black: African,
Not Stated (African),African,Black,Black: African,
Black (Cameroon),Cameroonian,Black,Black: African,
Congo,Congolese,Black,Black: African,
Congolese,Congolese,Black,Black: African,
East African,East African,Black,Black: African,
Black (Eritrean),Eritrean,Black,Black: African,
Eritrea,Eritrean,Black,Black: African,
Eritrean,Eritrean,Black,Black: African,
Etrtia,Eritrean,Black,Black: African,
Black (Ethiopian),Ethiopian,Black,Black: African,
Ethiopian,Ethiopian,Black,Black: African,
Not Stated (Ethiopian),Ethiopian,Black,Black: African,
Gambian,Gambian,Black,Black: African,
Black (Ghanaian),Ghanian,Black,Black: African,
Ghana,Ghanian,Black,Black: African,
Ghanian,Ghanian,Black,Black: African,
Ibo,Igbo,Black,Black: African,Assume misspelled Igbo
Igbo,Igbo,Black,Black: African,
Black (Kenyan),Kenyan,Black,Black: African,
African (Madagascar),Madagascan,Black,Black: African,
Not Stated (Mozambiquan),Mozambiquan,Black,Black: African,
Black (Nigerian),Nigerian,Black,Black: African,
Black Nigerian,Nigerian,Black,Black: African,
Nigeria,Nigerian,Black,Black: African,
Nigerian,Nigerian,Black,Black: African,
Black (North African),North African,Black,Black: African,
Black (Somali),Somali,Black,Black: African,
Not Stated (African-Somali),Somali,Black,Black: African,
Not Stated (Somalian),Somali,Black,Black: African,
Somailian,Somali,Black,Black: African,
Somali,Somali,Black,Black: African,
Somalia,Somali,Black,Black: African,
Somalian,Somali,Black,Black: African,
Black (South African),South African,Black,Black: African,
South African,South African,Black,Black: African,
African Sudanese,Sudanese,Black,Black: African,
Black (Sudanese),Sudanese,Black,Black: African,
British Sudani,Sudanese,Black,Black: African,
Not Stated (Sudamese),Sudanese,Black,Black: African,
Sudan,Sudanese,Black,Black: African,
Sudanese,Sudanese,Black,Black: African,
West Sudan,Sudanese,Black,Black: African,
Gwamaa,Sudanese/Gawamaa,Black,Black: African,Assume misspelled Gawarmaa
West African,West African,Black,Black: African,
Zimbabwaean,Zimbabwaean,Black,Black: African,
Zimbabwe,Zimbabwaean,Black,Black: African,
Zulu,Zulu,Black,Black: African,
African Carribean,Caribbean,Black,Black: Caribbean,
Afro Carribean,Caribbean,Black,Black: Caribbean,
Afro caribbean,Caribbean,Black,Black: Caribbean,
Afro carribean,Caribbean,Black,Black: Caribbean,
Afro-Caribbean,Caribbean,Black,Black: Caribbean,
Afro-Carribean,Caribbean,Black,Black: Caribbean,
Afro-caribbean,Caribbean,Black,Black: Caribbean,
Afrocaribbean,Caribbean,Black,Black: Caribbean,
Afrocarribean,Caribbean,Black,Black: Caribbean,
Black (Afro-Carribbean),Caribbean,Black,Black: Caribbean,
Black (Afro-Carribean),Caribbean,Black,Black: Caribbean,
Black (Caribbean),Caribbean,Black,Black: Caribbean,
Black (Carribbean),Caribbean,Black,Black: Caribbean,
Black British - Carribbean,Caribbean,Black,Black: Caribbean,
Black Caribbean,Caribbean,Black,Black: Caribbean,
Black Carribbean,Caribbean,Black,Black: Caribbean,
Black Carribean,Caribbean,Black,Black: Caribbean,
British caribean,Caribbean,Black,Black: Caribbean,
Caribbean,Caribbean,Black,Black: Caribbean,
Caribean,Caribbean,Black,Black: Caribbean,
Carribean,Caribbean,Black,Black: Caribbean,
Not Stated (Carribbean),Caribbean,Black,Black: Caribbean,
carribean,Caribbean,Black,Black: Caribbean,
Not Stated (Bahamian),Caribbean/Bahamian,Black,Black: Caribbean,
Afro-Carribean (Bermudian),Caribbean/Bermudian,Black,Black: Caribbean,
Cuban/black,Caribbean/Cuban,Black,Black: Caribbean,
Jamaican,Caribbean/Jamaica,Black,Black: Caribbean,
African American,African American,Black,Black: Other,
African-american,African American,Black,Black: Other,
Black (African American),African American,Black,Black: Other,
Afican (Algerian),Algerian,Black,Black: Other,
Cape Verde,Cape Verdean,Black,Black: Other,
African (Egyptian),Egyptian,Black,Black: Other,
Black,Other,Black,Black: Other,
Black (British),Other,Black,Black: Other,
